ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalogue","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _wpml_import_translation_group","Meta: _wpml_import_language_code","Meta: _wpml_import_source_language_code"
51318,simple,,,"GARANT EXTREME",1,0,visible,,"Experience the ultimate nicotine satisfaction with GARANT EXTREME nicotine pouches. These pouches offer a convenient and discreet way to enjoy a burst of flavor and rapid nicotine delivery. Available in a variety of exciting flavors, these pouches are perfect for on-the-go use, providing a satisfying experience anytime, anywhere. Say goodbye to smoke and hello to a convenient and enjoyable nicotine boost with GARANT EXTREME nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,GARANT,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/DgDKATfbQbhOkMSDZLVqT9MY9p7mpXwArRl4ME7U.webp,,,,,,,,,0,,,,,,10100,us,
51319,simple,,,"Ace X Black Raspberry Chili",1,0,visible,"For Ace X Black Raspberry Chili, it's important to shop around for the best prices to maximize your savings. Check various retailers, both online and in-store, to find where the product is offered at the lowest price. Some stores may have special promotions or bulk purchase discounts that can help you save even more. Consider signing up for newsletters or loyalty programs, as they often provide exclusive discounts. By comparing prices, you can ensure you're getting Ace X Black Raspberry Chili at the best possible value.","Ace X Black Raspberry Chili nicotine pouches offer a unique fusion of flavors, blending black raspberry sweetness with a spicy chili kick. These pouches are a convenient option for on-the-go nicotine delivery, providing a discreet and smoke-free experience. Discover a refreshing burst of flavor while enjoying a satisfying nicotine hit with Ace X Black Raspberry Chili nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,ACE,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/ace-x-raspberry-chili-slim-strong-1.png,,,,,,,,,0,,,,,,10096,us,
51320,simple,,,"GARANT ICE COOL",1,0,visible,,"Discover GARANT ICE COOL nicotine pouches for a refreshing nicotine experience. Enjoy the convenience of discreet pouches in various flavors that deliver a satisfying nicotine kick. Choose GARANT ICE COOL for a cool and convenient way to enjoy nicotine on the go.",,,taxable,,1,,,0,0,,,,,1,,,,GARANT,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/fB8PCSnGQWqxaLXxxDo852A9GUxZMj57wLC8rSgT.webp,,,,,,,,,0,,,,,,10098,us,
51321,simple,,,"LOOP Habanero Mint Extra Strong",1,0,visible,"Experience a spicy kick with LOOP Habanero Mint Extra Strong nicotine pouches. Convenient and flavorful choice for tobacco-free satisfaction.","Experience an intense burst of flavor and nicotine with LOOP Habanero Mint Extra Strong nicotine pouches. These pouches offer a convenient way to enjoy a refreshing habanero mint taste while getting a powerful nicotine delivery. Say goodbye to smoke or snus - simply pop in a pouch for a discreet and enjoyable experience anytime, anywhere. Elevate your nicotine satisfaction with LOOP nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,"3,39",LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-habanero-mint-slim-extra-strong-2.png,,,,,,,,,0,,Flavor,,1,1,10094,us,
51322,simple,,,"XQS Citrus Cooling Strong",1,0,visible,"Experience a refreshing burst of citrus with XQS Citrus Cooling Strong nicotine pouches. Enjoy a cooling sensation with a boost of nicotine.","Discover the refreshing XQS Citrus Cooling Strong nicotine pouches, delivering a convenient and flavorful nicotine experience. These pouches offer a burst of citrus flavor along with a strong nicotine kick. Perfect for nicotine delivery on-the-go, they provide a cooling sensation for a unique vaping experience. Try XQS Citrus Cooling for a convenient and enjoyable way to enjoy nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,XQS,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/xqs-citrus-cooling-slim-extra-strong-nicotine-pouches.png,,,,,,,,,0,,,,,,10092,us,
51323,simple,,,"XQS Black Cherry Slim Strong",1,0,visible,"XQS Black Cherry Slim Strong nicotine pouches deliver bold flavor and convenience. Enjoy nicotine pouches on-the-go for a satisfying experience.","Experience a burst of flavor with XQS Black Cherry Slim Strong nicotine pouches. Enjoy the convenience of 20 slim pouches per can, delivering a strong nicotine kick. Savor the delicious black cherry flavor while getting your nicotine fix. Perfect for on-the-go use, these pouches provide a discreet yet satisfying experience. Try XQS for a flavorful and powerful nicotine experience.",,,taxable,,1,,,0,0,,,,,1,,,,XQS,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/xqs-black-cherry-strong-2.png,,,,,,,,,0,,,,,,10090,us,
51339,simple,,,"XQS Tropical Strong",1,0,visible,"Experience the refreshing taste of XQS Tropical Strong nicotine pouches. Convenient, discreet, and perfect for on-the-go enjoyment.","XQS Tropical Strong nicotine pouches offer a convenient and discreet way to enjoy nicotine without the need for smoke or vapor. With a refreshing tropical flavor, these pouches deliver a strong nicotine kick for a satisfying experience on the go. Perfect for those looking for a convenient and flavorful alternative to traditional tobacco products, these nicotine pouches are easy to use and provide a quick and effective nicotine delivery.",,,taxable,,1,,,0,0,,,,,1,,,,XQS,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/xqs-tropical-strong-1.png,,,,,,,,,0,,,,,,7814,us,
51340,simple,,,"LOOP Smooth Mint Mini",1,0,visible,"Experience a burst of cool freshness with LOOP Smooth Mint Mini nicotine pouches. Enjoy discreet satisfaction anytime, anywhere.","Experience a fresh burst of flavor with LOOP Smooth Mint Mini nicotine pouches. Enjoy the convenience of discreet, smoke-free nicotine delivery anytime, anywhere. These pouches offer a refreshing mint flavor and a satisfying nicotine experience. Say goodbye to tobacco and hello to a more convenient and enjoyable way to get your nicotine fix.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-smooth-mint-mini-1.png,,,,,,,,,0,,,,,,7791,us,
51341,simple,20019,,"LOOP Cassis Bliss Strong",1,0,visible,"Experience the bold and invigorating flavor of LOOP Cassis Bliss Strong nicotine pouches. Perfect for a convenient and satisfying nicotine experience.","Experience the bold flavor of LOOP Cassis Bliss Strong nicotine pouches. These convenient pouches deliver a powerful nicotine kick with a delicious cassis taste. Enjoy discreet and long-lasting satisfaction on the go. Discover a new level of flavor and nicotine satisfaction with LOOP Cassis Bliss Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,"3,39",LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-cassis-bliss-strong-1.png,,,,,,,,,0,,,,,,7792,us,
51342,simple,,,"LOOP Jalapeño Lime",1,0,visible,"Discover LOOP Jalapeño Lime nicotine pouches. Enjoy a zesty and spicy flavor experience with these convenient and discreet pouches. Ideal for on-the-go use.","Enjoy a zesty kick with LOOP Jalapeño Lime nicotine pouches. These convenient pouches offer a bold flavor combination of spicy jalapeño and tangy lime. With their discreet and mess-free design, these nicotine pouches provide a convenient and effective way to satisfy your cravings on the go. Experience a quick nicotine delivery without the need for tobacco. Elevate your nicotine experience with LOOP Jalapeño Lime pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-jalapeno-lime-1.png,,,,,,,,,0,,,,,,7774,us,
51343,simple,,,"LOOP Jalapeño Lime Extra Strong",1,0,visible,"Try LOOP Jalapeño Lime Extra Strong nicotine pouches for a zesty kick. Enjoy the convenience of discreet and long-lasting flavor with these nicotine pouches.","Experience a bold fusion of spicy Jalapeño and zesty Lime with LOOP Jalapeño Lime Extra Strong nicotine pouches. Enjoy the convenience of discreet, smoke-free nicotine delivery in refreshing flavors. These pouches pack a punch, delivering a strong nicotine kick for those seeking a stimulating experience. Try LOOP for a satisfying and flavorful alternative to traditional tobacco consumption.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-jalapeno-lime-extra-strong-1.png,,,,,,,,,0,,,,,,7775,us,
51344,simple,,,"LOOP Habanero Mint Slim Hyper Strong",1,0,visible,"Experience a bold fusion of heat and cool with LOOP Habanero Mint Slim Hyper Strong nicotine pouches. Enjoy intense flavor and convenience on-the-go.","Experience an intense rush with LOOP Habanero Mint Slim Hyper Strong nicotine pouches. These convenient pouches deliver a potent kick of nicotine and a refreshing blend of habanero and mint flavors. Enjoy discreet enjoyment anytime, anywhere. Boost your day with a flavorful twist and a powerful nicotine hit.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-habanero-mint-slim-hyper-strong-1.png,,,,,,,,,0,,Flavor,,1,1,7776,us,
51345,simple,,,"LOOP Red Chili Melon Strong",1,0,visible,"Experience a blend of spicy red chili and refreshing melon with LOOP Red Chili Melon Strong nicotine pouches. Enjoy convenience on-the-go.","Experience a burst of flavor with LOOP Red Chili Melon Strong nicotine pouches. Enjoy the convenience of nicotine delivery without the need for smoke or vapor. With a unique blend of spicy chili and sweet melon, these pouches offer a bold and refreshing experience. Perfect for users seeking a strong nicotine kick in a discreet and hassle-free form.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-strong-1.png,,,,,,,,,0,,,,,,7777,us,
51346,simple,,,"LOOP Hot Mango Extra Strong",1,0,visible,"Experience an extra-strong kick with LOOP Hot Mango Nicotine Pouches. Enjoy a flavorful and convenient nicotine experience anywhere, anytime.","Experience a burst of tropical flavor with LOOP Hot Mango Extra Strong nicotine pouches. Enjoy the convenience of these discreet pouches that provide a quick and satisfying nicotine delivery. Indulge in the bold mango taste while staying refreshed on the go. Discover a new way to enjoy nicotine pouches with an extra kick of strength.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-hot-mango-extra-strong-1.png,,,,,,,,,0,,,,,,7778,us,
51347,simple,,,"LOOP Smooth Mint Strong",1,0,visible,"Enjoy a refreshing minty kick with LOOP Smooth Mint Strong nicotine pouches. Get your nicotine fix discreetly and conveniently on-the-go.","Experience a refreshing burst with LOOP Smooth Mint Strong nicotine pouches. Enjoy the convenience of these discreet pouches delivering a long-lasting mint flavor and satisfying nicotine hit. Perfect for on-the-go use, these pouches provide a smoke-free and hassle-free option for nicotine delivery. Elevate your experience with LOOP Smooth Mint Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-smooth-mint-strong-1.png,,,,,,,,,0,,,,,,7779,us,
51348,simple,,,"LOOP Hot Rhubarb Strong",1,0,visible,"Experience a bold burst of rhubarb flavor with LOOP Hot Rhubarb Strong nicotine pouches. Convenient and satisfying, perfect for on-the-go users.","Experience a burst of flavor and nicotine satisfaction with LOOP Hot Rhubarb Strong nicotine pouches. These convenient pouches offer a refreshing rhubarb taste with a strong nicotine kick. Perfect for when you're on the go, these pouches provide discreet and easy nicotine delivery. Enjoy the bold flavor and long-lasting effect with LOOP Hot Rhubarb Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-hot-rhubarb-strong-1.png,,,,,,,,,0,,,,,,7780,us,
51349,simple,,,"LOOP Red Chili Melon Hyper Strong",1,0,visible,"Experience a kick of flavor with LOOP Red Chili Melon Hyper Strong nicotine pouches. Enjoy convenience and satisfaction anytime, anywhere.","Experience the bold flavor and powerful kick of LOOP Red Chili Melon Hyper Strong nicotine pouches. These convenient pouches deliver a burst of spicy chili and refreshing melon taste, perfect for a quick nicotine boost anytime, anywhere. With Hyper Strong nicotine levels for intense satisfaction, these pouches are a convenient and discreet choice for nicotine enjoyment on the go. Join the LOOP revolution with these unique and flavorful nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-hyper-strong-1.png,,,,,,,,,0,,,,,,7781,us,
51350,simple,,,"LOOP Red Chili Melon Extra Strong",1,0,visible,"Experience an intense kick with LOOP Red Chili Melon Extra Strong nicotine pouches. Unique blend for a bold flavor and long-lasting buzz. Ideal for on-the-go use.","Experience a burst of flavor with LOOP Red Chili Melon Extra Strong nicotine pouches. Enjoy the convenience and discreetness of these pouches with a spicy chili kick complemented by refreshing melon notes. Get a quick nicotine delivery without the need for smoke or vapor. Try LOOP Red Chili Melon for a unique and intense pouch experience.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-extra-strong-1.png,,,,,,,,,0,,,,,,7782,us,
51351,simple,,,"LOOP Habanero Mint Slim Extra Strong",1,0,visible,"Experience a bold fusion of habanero and mint with LOOP Habanero Mint Slim Extra Strong nicotine pouches. Enjoy intense flavor and long-lasting satisfaction.","Experience a bold fusion of heat and freshness with LOOP Habanero Mint Slim Extra Strong nicotine pouches. Enjoy the convenience of discreet pouches delivering intense minty flavor and a powerful nicotine kick. Elevate your nicotine experience with these slim pouches that provide a long-lasting and enjoyable sensation. Discover a whole new level of satisfaction with these extra strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-habanero-mint-slim-extra-strong-1.png,,,,,,,,,0,,,,,,7783,us,
51352,simple,,,"LOOP Hot Mango Strong",1,0,visible,"Experience a burst of flavor with LOOP Hot Mango Strong nicotine pouches. Convenient and discreet, perfect for on-the-go satisfaction.","Experience the intense flavor of LOOP Hot Mango Strong nicotine pouches. Delivering a powerful nicotine kick, these pouches offer a convenient and discreet way to enjoy your favorite flavors without the need for smoking. With a refreshing mango taste and strong nicotine delivery, these pouches are perfect for on-the-go use. Discover a satisfying alternative with LOOP Hot Mango Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-hot-mango-strong-1.png,,,,,,,,,0,,,,,,7784,us,
51353,simple,,,"LOOP Licorice Fusion Extra Strong",1,0,visible,"Experience a bold fusion with LOOP Licorice Fusion Extra Strong nicotine pouches. Enjoy the convenience of discreet nicotine pouches anytime, anywhere.","Experience the bold taste and intense nicotine kick of LOOP Licorice Fusion Extra Strong nicotine pouches. Enjoy the convenience of these discreet pouches with long-lasting flavor and quick nicotine delivery. With its fusion of licorice flavor and extra strength, these pouches offer a satisfying experience anytime, anywhere. Upgrade your nicotine experience with LOOP today!",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-licorice-fusion-extra-strong-1.png,,,,,,,,,0,,,,,,7785,us,
51354,simple,,,"LOOP Jalapeño Lime Mini",1,0,visible,"Try LOOP Jalapeño Lime Mini nicotine pouches for a bold burst of flavor in a discreet, mess-free form. Experience convenience with these unique nicotine pouches.","Experience a burst of flavor with LOOP Jalapeño Lime Mini nicotine pouches. These pouches offer convenient and discreet nicotine delivery without the need to smoke. Enjoy the unique combination of spicy jalapeño and zesty lime flavors. Perfect for on-the-go use, these pouches provide a refreshing alternative to traditional tobacco products. Up your nicotine experience with LOOP Jalapeño Lime Mini pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-jalapeno-lime-mini-1.png,,,,,,,,,0,,,,,,7786,us,
51355,simple,,,"LOOP Red Chili Melon Mini",1,0,visible,"Experience a burst of flavor with LOOP Red Chili Melon Mini nicotine pouches. Convenient and discreet for a satisfying nicotine hit anytime, anywhere.","Discover the vibrant kick of LOOP Red Chili Melon Mini nicotine pouches. These convenient and discreet pouches offer a unique blend of spicy chili and sweet melon flavors, delivering a smooth nicotine experience. Perfect for on-the-go use, these pouches provide a satisfying alternative to smoking. Try LOOP Red Chili Melon Mini pouches for a bold and flavorful nicotine hit anytime, anywhere.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-mini-1.png,,,,,,,,,0,,,,,,7787,us,
51356,simple,,,"LOOP Ice Cool Mint Strong",1,0,visible,"Experience the refreshing chill of LOOP Ice Cool Mint Strong nicotine pouches. Enjoy a convenient and discreet way to get your nicotine fix anytime, anywhere.","Experience a refreshing burst of flavor with LOOP Ice Cool Mint Strong nicotine pouches. Convenient and discreet, these pouches deliver a strong nicotine kick while providing a cool mint sensation. Perfect for on-the-go use, each pouch ensures a long-lasting flavor experience. Say goodbye to smoking and hello to a convenient and flavorful nicotine option with LOOP Ice Cool Mint Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-ice-cool-mint-strong-1.png,,,,,,,,,0,,,,,,7788,us,
